Time resolution is 1 ps
Starting simulation...
Time:             32128000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             32211000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             32711000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             32794000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             32878000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             32961000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             33128000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             33211000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             33294000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             33461000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             33544000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             33628000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             33711000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             33794000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             34128000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             34211000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             34294000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             34378000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             34461000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             34628000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             34711000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             34794000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             34878000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             35128000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             35211000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             35378000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             35545000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             35711000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             35878000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             36045000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             36211000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             36295000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             36461000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             36628000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             36795000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             36878000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             37045000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             37211000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             37295000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             37378000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             37461000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             37628000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             37711000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             37961000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             38045000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             38295000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             38461000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             38545000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             38711000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             38795000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             38961000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             39128000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             39211000 | TX Debug = 0xzX | XADC Debug = 0xzZ
